,#N/A Requesting Data...,#N/A Requesting Data...,#N/A Requesting Data...,#N/A Requesting Data...,#N/A Requesting Data...,#N/A Requesting Data...,#N/A Requesting Data...,#N/A Requesting Data...
9983490D UN Equity,TE CONNECTIVITY LTD,US,USD,Information Technology,Technology Hardware & Equipmen,"Electronic Equipment, Instrume",Electronic Manufacturing Servi,#N/A N/A
9990213D UN Equity,JACOBS ENGINEERING GROUP INC,US,USD,Industrials,Commercial & Professional Serv,Professional Services,Research & Consulting Services,#N/A N/A
9991429D UN Equity,APTIV IRISH HOLDINGS LTD,IR,USD,Consumer Discretionary,Automobiles & Components,Automobile Components,Automotive Parts & Equipment,#N/A N/A
9995522D UN Equity,OFFICE DEPOT INC,US,USD,Consumer Discretionary,Consumer Discretionary Distrib,Specialty Retail,Other Specialty Retail,#N/A N/A
A UN Equity,AGILENT TECHNOLOGIES INC,US,USD,Health Care,"Pharmaceuticals, Biotechnology",Life Sciences Tools & Services,Life Sciences Tools & Services,43695104177
AA UN Equity,ALCOA CORP,US,USD,Materials,Materials,Metals & Mining,Aluminum,10765134810
AAF LN Equity,AIRTEL AFRICA PLC,GB,GBp,Communication Services,Telecommunication Services,Wireless Telecommunication Ser,Wireless Telecommunication Ser,11478217163
AAL LN Equity,ANGLO AMERICAN PLC,GB,GBp,Materials,Materials,Metals & Mining,Diversified Metals & Mining,33539091244
AAL UW Equity,AMERICAN AIRLINES GROUP INC,US,USD,Industrials,Transportation,Passenger Airlines,Passenger Airlines,9195004875
AAP UN Equity,ADVANCE AUTO PARTS INC,US,USD,Consumer Discretionary,Consumer Discretionary Distrib,Specialty Retail,Automotive Retail,3090545395
AAPL UQ Equity,APPLE INC,US,USD,Information Technology,Technology Hardware & Equipmen,"Technology Hardware, Storage &","Technology Hardware, Storage &",4.10118E+12
AAPL UW Equity,APPLE INC,US,USD,Information Technology,Technology Hardware & Equipmen,"Technology Hardware, Storage &","Technology Hardware, Storage &",4.10118E+12
AB/ LN Equity,ALLIANCE BOOTS HOLDINGS LTD,GB,GBp,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
ABBV UN Equity,ABBVIE INC,US,USD,Health Care,"Pharmaceuticals, Biotechnology",Biotechnology,Biotechnology,4.02363E+11
ABDN LN Equity,ABERDEEN GROUP PLC,GB,GBp,Financials,Financial Services,Capital Markets,Asset Management & Custody Ban,3751436233
ABF LN Equity,ASSOCIATED BRITISH FOODS PLC,GB,GBp,Consumer Staples,"Food, Beverage & Tobacco",Food Products,Packaged Foods & Meats,15164168054
ABKFQ UN Equity,AMBAC FINANCIAL GROUP INC/OL,US,USD,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
ABMD UW Equity,ABIOMED INC,US,USD,Health Care,Health Care Equipment & Servic,Health Care Equipment & Suppli,Health Care Equipment,#N/A N/A
ABNB UW Equity,AIRBNB INC-CLASS A,US,USD,Consumer Discretionary,Consumer Services,"Hotels, Restaurants & Leisure","Hotels, Resorts & Cruise Lines",71859278515
ABT UN Equity,ABBOTT LABORATORIES,US,USD,Health Care,Health Care Equipment & Servic,Health Care Equipment & Suppli,Health Care Equipment,2.23515E+11
ACA LN Equity,BARRICK TZ LTD,GB,GBp,Materials,Materials,Metals & Mining,Gold,#N/A N/A
ACAS UW Equity,ACAS LLC,US,USD,Financials,Financial Services,Capital Markets,Asset Management & Custody Ban,#N/A N/A
ACGL UW Equity,ARCH CAPITAL GROUP LTD,BD,USD,Financials,Insurance,Insurance,Property & Casualty Insurance,34231888547
ACN UN Equity,ACCENTURE PLC-CL A,IR,USD,Information Technology,Software & Services,IT Services,IT Consulting & Other Services,1.54548E+11
ADBE UQ Equity,ADOBE INC,US,USD,Information Technology,Software & Services,Software,Application Software,1.32914E+11
ADBE UW Equity,ADOBE INC,US,USD,Information Technology,Software & Services,Software,Application Software,1.32914E+11
ADI UN Equity,ANALOG DEVICES INC,US,USD,Information Technology,Semiconductors & Semiconductor,Semiconductors & Semiconductor,Semiconductors,1.26341E+11
ADI UW Equity,ANALOG DEVICES INC,US,USD,Information Technology,Semiconductors & Semiconductor,Semiconductors & Semiconductor,Semiconductors,1.26292E+11
ADM LN Equity,ADMIRAL GROUP PLC,GB,GBp,Financials,Insurance,Insurance,Property & Casualty Insurance,9758866977
ADM UN Equity,ARCHER-DANIELS-MIDLAND CO,US,USD,Consumer Staples,"Food, Beverage & Tobacco",Food Products,Agricultural Products & Servic,29098497454
ADN LN Equity,ABRDN HOLDINGS LTD,GB,GBp,Financials,Financial Services,Capital Markets,Asset Management & Custody Ban,#N/A N/A
ADP UN Equity,AUTOMATIC DATA PROCESSING,US,USD,Industrials,Commercial & Professional Serv,Professional Services,Human Resource & Employment Se,1.02861E+11
